test,exec_per_sec,cpu
noaudit,100,0
noaudit,200,0
noaudit,400,0
noaudit,800,0
noaudit,1600,0
auditdNoRules,100,0
auditdNoRules,200,0
auditdNoRules,400,0
auditdNoRules,800,0
auditdNoRules,1600,0
auditdraw,100,4.54
auditdraw,200,7.84
auditdraw,400,14.07
auditdraw,800,20
auditdraw,1600,29.53
auditdenriched,100,5.51
auditdenriched,200,9.34
auditdenriched,400,15.46
auditdenriched,800,24.26
auditdenriched,1600,35.67
go-audit,100,5.2
go-audit,200,7.81
go-audit,400,14.5
go-audit,800,21.2
go-audit,1600,32.14
auditbeat,100,9.7
auditbeat,200,17.2
auditbeat,400,27.91
auditbeat,800,40.03
auditbeat,1600,55.95
sysmon,100,4.64
sysmon,200,7.2
sysmon,400,11.08
sysmon,800,18.52
sysmon,1600,27.55
laurel,100,7
laurel,200,11.38
laurel,400,18.57
laurel,800,30.44
laurel,1600,44.17
