test,exec_per_sec,cpu
sysmon,100,3.8
sysmon,200,6.7
sysmon,400,11.03
sysmon,800,16
sysmon,1600,24.09
sysmon,100,4.03
sysmon,200,6.57
sysmon,400,11
sysmon,800,15.97
sysmon,1600,24.53
sysmon,100,4
sysmon,200,6.74
sysmon,400,11
sysmon,800,16.2
sysmon,1600,24.47
sysmon,100,4.07
sysmon,200,6.57
sysmon,400,10.44
sysmon,800,16.03
sysmon,1600,23.96
sysmon,100,4.2
sysmon,200,6.27
sysmon,400,10.87
sysmon,800,16.23
sysmon,1600,24.1
sysmon,100,4.03
sysmon,200,6.37
sysmon,400,10.9
sysmon,800,16.23
sysmon,1600,23.61
sysmon,100,4.07
sysmon,200,6.46
sysmon,400,10.83
sysmon,800,16.06
sysmon,1600,23.86
sysmon,100,3.64
sysmon,200,6.67
sysmon,400,10.9
sysmon,800,16.3
sysmon,1600,24.1
sysmon,100,3.93
sysmon,200,6.53
sysmon,400,10.74
sysmon,800,16.23
sysmon,1600,25.07
sysmon,100,4.06
sysmon,200,6.87
sysmon,400,11.13
sysmon,800,16.43
sysmon,1600,24.27
sysmon,100,4.13
sysmon,200,6.8
sysmon,400,11.24
sysmon,800,16.24
sysmon,1600,24.87
sysmon,100,4
sysmon,200,6.89
sysmon,400,11.23
sysmon,800,16.63
sysmon,1600,24.64
sysmon,100,4.23
sysmon,200,6.66
sysmon,400,11.1
sysmon,800,16.5
sysmon,1600,25
sysmon,100,4.14
sysmon,200,6.23
sysmon,400,10.83
sysmon,800,17.5
sysmon,1600,24.37
sysmon,100,4.07
sysmon,200,6.43
sysmon,400,10.83
sysmon,800,17.46
sysmon,1600,24.5
sysmon,100,4.17
sysmon,200,6.57
sysmon,400,11.26
sysmon,800,16.7
sysmon,1600,24.29
sysmon,100,3.56
sysmon,200,6.56
sysmon,400,11.03
sysmon,800,16.73
sysmon,1600,23.89
sysmon,100,3.59
sysmon,200,6.9
sysmon,400,10.93
sysmon,800,16.9
sysmon,1600,24.2
sysmon,100,4.1
sysmon,200,6.87
sysmon,400,11.03
sysmon,800,16.41
sysmon,1600,24.21
sysmon,100,3.9
sysmon,200,6.86
sysmon,400,11.23
sysmon,800,16.47
sysmon,1600,24.4
sysmon,100,4
sysmon,200,6.97
sysmon,400,11.27
sysmon,800,16.66
sysmon,1600,25.07
sysmon,100,4.1
sysmon,200,6.44
sysmon,400,10.11
sysmon,800,17
sysmon,1600,24.87
sysmon,100,4.1
sysmon,200,6.67
sysmon,400,10.5
sysmon,800,16.44
sysmon,1600,25.23
sysmon,100,3.97
sysmon,200,6.29
sysmon,400,11.14
sysmon,800,16.6
sysmon,1600,24.73
sysmon,100,4.07
sysmon,200,6.3
sysmon,400,11.27
sysmon,800,16.74
sysmon,1600,24.67
sysmon,100,4.04
sysmon,200,6.4
sysmon,400,11.42
sysmon,800,17.23
sysmon,1600,24.1
sysmon,100,3.74
sysmon,200,6.47
sysmon,400,11.04
sysmon,800,17.57
sysmon,1600,24.56
sysmon,100,3.96
sysmon,200,6.84
sysmon,400,11.16
sysmon,800,16.77
sysmon,1600,23.6
sysmon,100,3.96
sysmon,200,6.81
sysmon,400,11.13
sysmon,800,16.96
sysmon,1600,23.8
sysmon,100,4.1
sysmon,200,6.84
sysmon,400,11.13
sysmon,800,16.86
sysmon,1600,24.57
sysmon,100,4.13
sysmon,200,6.7
sysmon,400,11
sysmon,800,16.76
sysmon,1600,24.67
sysmon,100,4.2
sysmon,200,6.97
sysmon,400,10.71
sysmon,800,16.87
sysmon,1600,24.7
sysmon,100,4.07
sysmon,200,6.56
sysmon,400,10.6
sysmon,800,16.47
sysmon,1600,25
sysmon,100,3.96
sysmon,200,6.33
sysmon,400,11.31
sysmon,800,16.73
sysmon,1600,24.63
sysmon,100,3.83
sysmon,200,6.9
sysmon,400,11.23
sysmon,800,16.53
sysmon,1600,24.84
sysmon,100,3.86
sysmon,200,6.47
sysmon,400,10.63
sysmon,800,16.63
sysmon,1600,24.13
sysmon,100,3.8
sysmon,200,6.7
sysmon,400,11.27
sysmon,800,16.8
sysmon,1600,24.1
